timestamp,position_x,position_y
0.0,-15.666670000000002,236.0
0.1050002,-17.0,238.3333
0.19000029999999998,-15.333329999999998,238.6667
0.29500040000000005,-15.0,240.3333
0.4000006,-15.0,240.3333
0.5100007000000001,-15.333329999999998,240.3333
0.6000008000000001,-15.0,240.3333
0.695001,-15.666670000000002,240.6667
0.7900010999999999,-15.333329999999998,240.3333
0.9050013000000001,-16.33333,240.3333
1.0000014000000002,-16.66667,240.3333
1.0950015,-17.33333,239.6667
1.1900017,-17.33333,239.3333
1.2950018,-17.33333,239.3333
1.390002,-17.0,238.6667
1.4950021,-17.33333,238.6667
1.6100023,-18.66667,239.0
1.6950023999999997,-18.66667,239.3333
1.7900025000000002,-18.66667,238.6667
1.9050026999999998,-18.66667,238.6667
2.0000028000000003,-19.0,239.0
2.0950029,-18.66667,238.6667
2.2000031000000004,-18.66667,239.0
2.3050032000000003,-19.0,238.6667
2.3900034,-18.33333,239.0
2.4950035,-18.33333,238.6667
2.6000036,-18.66667,239.0
2.6950038,-18.33333,238.6667
2.7900039,-18.33333,238.6667
2.8950041,-18.33333,238.6667
2.9900042,-18.33333,238.6667
3.0950043,-18.33333,238.6667
3.1900044999999997,-18.33333,238.6667
3.3100046,-18.33333,238.6667
3.4000047999999996,-18.33333,238.6667
3.5000049,-18.33333,238.6667
3.5950050000000005,-18.33333,238.6667
3.7000052000000005,-18.33333,238.6667
3.7950053,-18.33333,238.6667
3.9100055,-22.33333,243.6667
4.000005600000001,-22.33333,242.6667
4.0950057,-24.66667,243.0
4.2000059,-26.0,243.0
4.305006,-28.66667,244.0
4.395006200000001,-29.33333,244.0
4.5000063,-30.33333,243.3333
4.595006400000001,-30.33333,243.3333
4.7000066,-30.0,242.6667
4.7950067,-29.33333,243.3333
4.9000069,-28.0,242.0
5.020007,-26.33333,241.3333
5.095007099999999,-23.0,240.6667
5.195007299999999,-20.66667,241.6667
5.3000074,-19.33333,239.6667
5.3950076,-19.33333,240.0
5.5050077,-19.0,238.3333
5.6150079,-19.66667,238.3333
5.705008,-20.33333,236.0
5.8000080999999994,-20.66667,234.0
5.8950083,-22.0,234.0
6.0100084,-22.0,233.3333
6.1050086,-22.0,233.0
6.2000087,-22.66667,231.3333
6.2950088,-23.0,230.3333
6.400009,-22.66667,227.0
6.495009099999999,-22.66667,226.6667
6.600009200000001,-20.66667,227.6667
6.7150094,-21.0,228.3333
6.8000095,-22.0,225.0
6.895009700000001,-20.33333,224.0
7.0000098,-20.33333,223.0
7.0950099,-18.33333,224.0
7.2100101,-18.33333,223.0
